FID,lon,lat
266,113.86491,22.81362
267,113.86989,22.81243
268,113.86697,22.81221
269,113.8763,22.80832
270,113.87183,22.81068
271,113.87811,22.81649
272,113.87864,22.81648
273,113.87138,22.81104
274,113.87041,22.81063
275,113.87256,22.81234
276,113.87305,22.81193
277,113.87181,22.81154
278,113.87386,22.81535
279,113.87526,22.81553
280,113.87767,22.81159
281,113.87815,22.81237
282,113.87452,22.81398
283,113.87636,22.81267
284,113.87605,22.81455
285,113.87855,22.81339
286,113.87712,22.81411
287,113.87682,22.81351
288,113.87738,22.81486
289,113.87658,22.81561
290,113.8779,22.81587
291,113.87144,22.80496
292,113.87483,22.8091
293,113.87558,22.80331
294,113.87328,22.80962
295,113.87523,22.81012
296,113.87481,22.81126
297,113.87594,22.81154
298,113.86855,22.80747
299,113.8844,22.8152
300,113.8871,22.81541
301,113.8865,22.81349
302,113.88587,22.81446
303,113.88397,22.8135
304,113.88587,22.81285
305,113.88216,22.80672
306,113.88244,22.81125
307,113.88173,22.81025
308,113.8833,22.81025
309,113.88459,22.81025
310,113.88415,22.80911
311,113.83847,22.79763
312,113.83926,22.79821
313,113.83943,22.80007
314,113.84143,22.79958
315,113.83828,22.80189
316,113.83943,22.80274
317,113.83229,22.79739
318,113.83341,22.79745
319,113.83392,22.79865
320,113.83518,22.79802
321,113.83686,22.79854
322,113.83556,22.79939
323,113.83767,22.80094
324,113.83714,22.80012
325,113.83859,22.79938
326,113.83809,22.80049
327,113.83859,22.80053
328,113.83914,22.80314
329,113.83932,22.80358
330,113.84016,22.80464
331,113.83953,22.80385
332,113.83871,22.80409
333,113.83974,22.80333
334,113.8397,22.80293
335,113.83959,22.80239
336,113.84,22.80161
337,113.84004,22.80284
338,113.84065,22.8021
339,113.84001,22.80233
340,113.84085,22.79705
341,113.84002,22.79792
342,113.84216,22.79845
343,113.84985,22.79808
344,113.84456,22.80343
345,113.84485,22.80426
346,113.84466,22.80426
347,113.84476,22.80446
348,113.843,22.80125
349,113.8485,22.80664
350,113.84594,22.8053
351,113.84581,22.80104
352,113.84528,22.79944
353,113.84774,22.79913
354,113.84905,22.8017
355,113.84945,22.79884
356,113.85061,22.79869
357,113.85051,22.79898
358,113.85073,22.79957
359,113.85527,22.80116
360,113.85175,22.80664
361,113.85089,22.79809
362,113.85144,22.7984
363,113.8529,22.80516
364,113.8546,22.80136
365,113.85371,22.80184
366,113.85429,22.80192
367,113.85484,22.80196
368,113.85428,22.80273
369,113.85218,22.80016
370,113.85515,22.79942
371,113.85411,22.79728
372,113.85638,22.79764
373,113.85891,22.79879
374,113.86062,22.80586
375,113.85924,22.80397
376,113.85664,22.80303
377,113.85998,22.80113
378,113.86088,22.80095
379,113.86874,22.79988
380,113.86149,22.80017
381,113.86268,22.79909
382,113.86426,22.80218
383,113.86277,22.80304
384,113.86888,22.80138
385,113.86176,22.80472
386,113.86056,22.80398
387,113.86121,22.8028
388,113.87676,22.79782
389,113.87744,22.79801
390,113.87867,22.7979
391,113.87708,22.79852
392,113.86887,22.79713
393,113.88101,22.79829
394,113.88026,22.79908
395,113.88202,22.80359
396,113.88035,22.80243
397,113.87988,22.79809
398,113.8183,22.78875
399,113.81516,22.78709
400,113.82063,22.79169
401,113.82035,22.79087
402,113.82083,22.79091
403,113.82272,22.78875
404,113.82216,22.79065
405,113.82857,22.78794
406,113.82724,22.78907
407,113.82715,22.7896
408,113.82835,22.79194
409,113.82605,22.79367
410,113.82831,22.79251
411,113.82768,22.79294
412,113.82878,22.79389
413,113.83152,22.79433
414,113.82911,22.79569
415,113.83155,22.79624
416,113.83029,22.79649
417,113.82582,22.79137
418,113.82649,22.7895
419,113.82592,22.79004
420,113.82669,22.78787
421,113.82769,22.79198
422,113.82647,22.79198
423,113.82706,22.79246
424,113.82725,22.79021
425,113.82705,22.79134
426,113.8283,22.79069
427,113.82925,22.7918
428,113.8301,22.79294
429,113.8287,22.7899
430,113.8301,22.79096
431,113.83166,22.7916
432,113.83195,22.79028
433,113.83055,22.79029
434,113.82395,22.79218
435,113.82413,22.79065
436,113.82476,22.79132
437,113.82535,22.79065
438,113.83971,22.7917
439,113.84248,22.79174
440,113.83577,22.79274
441,113.83416,22.79636
442,113.83467,22.79665
443,113.83371,22.79665
444,113.83424,22.79675
445,113.83613,22.79672
446,113.83749,22.79736
447,113.83325,22.79638
448,113.83366,22.79468
449,113.83359,22.795
450,113.83519,22.79694
451,113.83658,22.79726
452,113.83543,22.79517
453,113.83894,22.79541
454,113.83749,22.7956
455,113.8396,22.79597
456,113.83756,22.79521
457,113.84019,22.79308
458,113.83173,22.78929
459,113.83405,22.7897
460,113.83276,22.78951
461,113.83657,22.79084
462,113.83362,22.79047
463,113.83401,22.79124
464,113.83379,22.78835
465,113.83514,22.78902
466,113.83503,22.78989
467,113.83632,22.78776
468,113.8358,22.78861
469,113.83679,22.78931
470,113.837,22.78661
471,113.83825,22.78932
472,113.83668,22.79011
473,113.84145,22.79104
474,113.83776,22.79096
475,113.83786,22.79284
476,113.83959,22.79144
477,113.83872,22.79122
478,113.83945,22.79158
479,113.84129,22.78969
480,113.8411,22.78853
481,113.84022,22.78932
482,113.84952,22.7887
483,113.84229,22.78896
484,113.84419,22.78905
485,113.84514,22.79189
486,113.84974,22.79129
487,113.84243,22.79598
488,113.84105,22.79598
489,113.84756,22.79693
490,113.84174,22.79282
491,113.84115,22.79467
492,113.84593,22.79218
493,113.84796,22.79256
494,113.84606,22.79178
495,113.85716,22.79414
496,113.85703,22.79436
497,113.85727,22.79431
498,113.8556,22.79396
499,113.85604,22.79448
500,113.85657,22.79432
501,113.8567,22.79464
502,113.85713,22.79455
503,113.85576,22.7946
